EN,S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
184,*,Detroit             MI,*,Miami               FL,1.17,3,Yes,No,6140.52648737483,26506,21207,4459144,2105604,Free,Constrained,1151,5064,133.98
185,*,Los Angeles         CA,*,Miami               FL,1.21,3,Yes,No,4567.20047217493,24706,21207,9056076,2105604,Free,Free,2336,11193,207.83
186,*,Las Vegas           NV,*,Milwaukee           WI,1.42,3,Yes,No,2796.60350855909,24575,26695,1197234,1646147,Free,Free,1521,2963,146.36
187,JFK,New York/Newark     NY,*,Milwaukee           WI,1.29,3,No,No,6108.57228264424,32991,26695,8621121,1646147,Controlled,Free,736,6590,190.09
188,LGA,New York/Newark     NY,*,Milwaukee           WI,1.29,3,No,No,6108.57228264424,32991,26695,8621121,1646147,Controlled,Free,736,6590,190.09
189,EWR,New York/Newark     NY,*,Milwaukee           WI,1.29,1,No,No,6108.57228264424,32991,26695,8621121,1646147,Free,Constrained,736,6590,190.09
190,*,Orlando             FL,*,Milwaukee           WI,1.49,3,Yes,No,2985.42304660907,22360,26695,1421287,1646147,Free,Free,1066,6935,104.87
191,*,Phoenix             AZ,*,Milwaukee           WI,1.36,3,No,No,3146.6828901975,23025,26695,2753373,1646147,Free,Free,1461,4879,154.06
192,*,Atlanta             GA,*,Minneapolis/St Paul MN,1.17,3,No,No,4317.65934333737,26993,28739,3532657,2761118,Free,Constrained,904,5578,269.43
193,*,Boston              MA,*,Minneapolis/St Paul MN,1.18,3,No,No,7702.88193642674,30124,28739,5787293,2761118,Free,Constrained,1114,7276,258.85
194,ORD,Chicago             IL,*,Minneapolis/St Paul MN,1.01,3,No,No,3911.16746818171,29260,28739,7830332,2761118,Controlled,Constrained,342,29137,156.93
195,MDW,Chicago             IL,*,Minneapolis/St Paul MN,1.01,3,No,No,3911.16746818171,29260,28739,7830332,2761118,Free,Constrained,342,29137,156.93
196,*,Dallas/Fort Worth   TX,*,Minneapolis/St Paul MN,1.1,3,No,No,4540.30106004059,28637,28739,3036732,2761118,Free,Constrained,857,6621,230.71
197,*,Denver              CO,*,Minneapolis/St Paul MN,1.02,3,No,No,4347.48346083104,29055,28739,1862106,2761118,Free,Constrained,693,10147,133.5
198,*,Detroit             MI,*,Minneapolis/St Paul MN,1.14,3,No,No,9249.13121604754,26506,28739,4459144,2761118,Free,Constrained,530,5389,286.54
199,*,Kansas City         MO,*,Minneapolis/St Paul MN,1.19,3,No,No,7958.31082957965,25450,28739,1694803,2761118,Free,Constrained,401,3733,232.55
200,*,Las Vegas           NV,*,Minneapolis/St Paul MN,1.13,3,Yes,No,6172.11915741344,24575,28739,1197234,2761118,Free,Constrained,1301,4353,171.67
201,*,Los Angeles         CA,*,Minneapolis/St Paul MN,1.24,3,No,No,6166.10432395287,24706,28739,9056076,2761118,Free,Constrained,1539,7749,246.1
202,ORD,Chicago             IL,*,Nashville           TN,1.02,3,No,Yes,3463.96073413139,29260,25995,7830332,1115048,Controlled,Free,401,10902,84.21
203,MDW,Chicago             IL,*,Nashville           TN,1.02,3,No,Yes,3463.96073413139,29260,25995,7830332,1115048,Free,Free,401,10902,84.21
204,*,Dallas/Fort Worth   TX,*,Nashville           TN,1.1,3,No,No,7138.34088185788,28637,25995,3036732,1115048,Free,Free,634,4632,181.99
205,*,Detroit             MI,*,Nashville           TN,1.16,2,No,Yes,7746.62665173167,26506,25995,4459144,1115048,Free,Constrained,466,6143,166.25
206,*,Houston             TX,*,Nashville           TN,1.08,3,No,Yes,4722.17485802284,27211,25995,3770125,1115048,Free,Free,671,5772,107.86
207,*,Los Angeles         CA,*,Nashville           TN,1.57,2,No,Yes,3106.38335833634,24706,25995,9056076,1115048,Free,Free,1798,4462,181.02
208,JFK,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.27158182468,32991,25995,8621121,1115048,Controlled,Free,760,7387,215.01
209,LGA,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.27158182468,32991,25995,8621121,1115048,Controlled,Free,760,7387,215.01
210,EWR,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.27158182468,32991,25995,8621121,1115048,Free,Constrained,760,7387,215.01
211,*,Orlando             FL,*,Nashville           TN,1.17,1,Yes,Yes,2173.45252672165,22360,25995,1421287,1115048,Free,Free,615,6224,87.8
212,*,Atlanta             GA,*,New Orleans         LA,1.02,3,No,No,6269.74596903279,26993,22038,3532657,1308499,Free,Free,419,7796,120.7
213,ORD,Chicago             IL,*,New Orleans         LA,1.2,3,No,Yes,2621.00769572317,29260,22038,7830332,1308499,Controlled,Free,829,8356,132.85
214,MDW,Chicago             IL,*,New Orleans         LA,1.2,3,No,Yes,2621.00769572317,29260,22038,7830332,1308499,Free,Free,829,8356,132.85
215,*,Dallas/Fort Worth   TX,*,New Orleans         LA,1.05,3,No,Yes,4060.65414841447,28637,22038,3036732,1308499,Free,Free,455,12717,84.53
216,*,Houston             TX,*,New Orleans         LA,1.01,3,No,Yes,5117.49221876876,27211,22038,3770125,1308499,Free,Free,319,19894,76.81
217,*,Los Angeles         CA,*,New Orleans         LA,1.43,3,No,Yes,2605.0543893683,24706,22038,9056076,1308499,Free,Free,1678,5559,202
218,*,Albuquerque         NM,JFK,New York/Newark     NY,1.92,3,No,No,1940.17219696915,22089,32991,668159,8621121,Controlled,Free,1822,4002,208.79
219,*,Albuquerque         NM,LGA,New York/Newark     NY,1.92,3,No,No,1940.17219696915,22089,32991,668159,8621121,Controlled,Free,1822,4002,208.79
220,*,Albuquerque         NM,EWR,New York/Newark     NY,1.92,3,No,No,1940.17219696915,22089,32991,668159,8621121,Free,Constrained,1822,4002,208.79
221,*,Atlanta             GA,JFK,New York/Newark     NY,1.06,3,No,No,4593.38307765206,26993,32991,3532657,8621121,Controlled,Free,756,48642,162.28
222,*,Atlanta             GA,LGA,New York/Newark     NY,1.06,3,No,No,4593.38307765206,26993,32991,3532657,8621121,Controlled,Free,756,48642,162.28
223,*,Atlanta             GA,EWR,New York/Newark     NY,1.06,3,No,No,4593.38307765206,26993,32991,3532657,8621121,Free,Constrained,756,48642,162.28
224,*,Austin              TX,JFK,New York/Newark     NY,1.69,3,No,No,3447.62751350211,23665,32991,1038660,8621121,Controlled,Free,1515,3802,287.23
225,*,Austin              TX,LGA,New York/Newark     NY,1.69,3,No,No,3447.62751350211,23665,32991,1038660,8621121,Controlled,Free,1515,3802,287.23
226,*,Austin              TX,EWR,New York/Newark     NY,1.69,3,No,No,3447.62751350211,23665,32991,1038660,8621121,Free,Constrained,1515,3802,287.23
227,*,Boston              MA,JFK,New York/Newark     NY,1,3,No,No,2850.32807315988,30124,32991,5787293,8621121,Controlled,Free,183,66820,116.78
228,*,Boston              MA,LGA,New York/Newark     NY,1,3,No,No,2850.32807315988,30124,32991,5787293,8621121,Controlled,Free,183,66820,116.78
229,*,Boston              MA,EWR,New York/Newark     NY,1,3,No,No,2850.32807315988,30124,32991,5787293,8621121,Free,Constrained,183,66820,116.78
230,ORD,Chicago             IL,JFK,New York/Newark     NY,1.05,3,No,No,3316.89501885597,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
231,ORD,Chicago             IL,LGA,New York/Newark     NY,1.05,3,No,No,3316.89501885597,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
232,ORD,Chicago             IL,EWR,New York/Newark     NY,1.05,3,No,No,3316.89501885597,29260,32991,7830332,8621121,Controlled,Constrained,723,73892,159.71
233,MDW,Chicago             IL,JFK,New York/Newark     NY,1.05,3,No,No,3316.89501885597,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
234,MDW,Chicago             IL,LGA,New York/Newark     NY,1.05,3,No,No,3316.89501885597,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
235,MDW,Chicago             IL,EWR,New York/Newark     NY,1.05,3,No,No,3316.89501885597,29260,32991,7830332,8621121,Free,Constrained,723,73892,159.71
236,*,Cincinnati          OH,JFK,New York/Newark     NY,1.1,3,No,No,6102.03038793751,25059,32991,1595139,8621121,Controlled,Constrained,582,9567,205
237,*,Cincinnati          OH,LGA,New York/Newark     NY,1.1,3,No,No,6102.03038793751,25059,32991,1595139,8621121,Controlled,Constrained,582,9567,205
238,*,Cincinnati          OH,EWR,New York/Newark     NY,1.1,3,No,No,6102.03038793751,25059,32991,1595139,8621121,Free,Constrained,582,9567,205
239,*,Cleveland           OH,JFK,New York/Newark     NY,1.07,3,No,No,6798.93765745599,26046,32991,2230955,8621121,Controlled,Free,408,13252,143.44
240,*,Cleveland           OH,LGA,New York/Newark     NY,1.07,3,No,No,6798.93765745599,26046,32991,2230955,8621121,Controlled,Free,408,13252,143.44
241,*,Cleveland           OH,EWR,New York/Newark     NY,1.07,3,No,No,6798.93765745599,26046,32991,2230955,8621121,Free,Constrained,408,13252,143.44
242,*,Columbus            OH,JFK,New York/Newark     NY,1.11,0,No,No,3046.45311540319,24502,32991,125722,8621121,Controlled,Free,475,10168,174.87
243,*,Columbus            OH,LGA,New York/Newark     NY,1.11,3,No,No,3046.45311540319,24502,32991,125722,8621121,Controlled,Free,475,10168,174.87
244,*,Columbus            OH,EWR,New York/Newark     NY,1.11,3,No,No,3046.45311540319,24502,32991,125722,8621121,Free,Constrained,475,10168,174.87
245,*,Dallas/Fort Worth   TX,JFK,New York/Newark     NY,1.12,3,No,No,6583.71943445729,28637,32991,3036732,8621121,Controlled,Free,1389,24082,304.18
246,*,Dallas/Fort Worth   TX,LGA,New York/Newark     NY,1.12,3,No,No,6583.71943445729,28637,32991,3036732,8621121,Controlled,Free,1389,24082,304.18
247,*,Dallas/Fort Worth   TX,EWR,New York/Newark     NY,1.12,3,No,No,6583.71943445729,28637,32991,3036732,8621121,Free,Constrained,1389,24082,304.18
248,*,Denver              CO,JFK,New York/Newark     NY,1.25,3,No,No,4809.09834164184,29055,32991,1862106,8621121,Controlled,Free,1624,16240,270.36
249,*,Denver              CO,LGA,New York/Newark     NY,1.25,3,No,No,4809.09834164184,29055,32991,1862106,8621121,Controlled,Free,1624,16240,270.36
250,*,Denver              CO,EWR,New York/Newark     NY,1.25,3,No,No,4809.09834164184,29055,32991,1862106,8621121,Free,Constrained,1624,16240,270.36
251,*,Detroit             MI,JFK,New York/Newark     NY,1.06,3,No,No,5430.52441224805,26506,32991,4459144,8621121,Controlled,Constrained,492,17775,209.35
252,*,Detroit             MI,LGA,New York/Newark     NY,1.06,3,No,No,5430.52441224805,26506,32991,4459144,8621121,Controlled,Constrained,492,17775,209.35
253,*,Detroit             MI,EWR,New York/Newark     NY,1.06,3,No,No,5430.52441224805,26506,32991,4459144,8621121,Free,Constrained,492,17775,209.35
254,*,Fort Lauderdale     FL,JFK,New York/Newark     NY,1.06,3,Yes,No,2828.16065945533,26752,32991,1440377,8621121,Controlled,Free,1068,40159,123.18
255,*,Fort Lauderdale     FL,LGA,New York/Newark     NY,1.06,3,Yes,No,2828.16065945533,26752,32991,1440377,8621121,Controlled,Free,1068,40159,123.18
256,*,Fort Lauderdale     FL,EWR,New York/Newark     NY,1.06,3,Yes,No,2828.16065945533,26752,32991,1440377,8621121,Free,Constrained,1068,40159,123.18
257,*,Fort Meyers         FL,JFK,New York/Newark     NY,1.22,3,Yes,No,3536.16264521719,24510,32991,379566,8621121,Controlled,Free,1076,9399,143.2
258,*,Fort Meyers         FL,LGA,New York/Newark     NY,1.22,3,Yes,No,3536.16264521719,24510,32991,379566,8621121,Controlled,Free,1076,9399,143.2
259,*,Fort Meyers         FL,EWR,New York/Newark     NY,1.22,3,Yes,No,3536.16264521719,24510,32991,379566,8621121,Free,Constrained,1076,9399,143.2
260,*,Greenville/Sprtnbg  SC,JFK,New York/Newark     NY,1.29,0,No,No,3151.99939982876,21081,32991,895123,8621121,Controlled,Free,613,3806,144.6
261,*,Greenville/Sprtnbg  SC,LGA,New York/Newark     NY,1.29,3,No,No,3151.99939982876,21081,32991,895123,8621121,Controlled,Free,613,3806,144.6
262,*,Greenville/Sprtnbg  SC,EWR,New York/Newark     NY,1.29,3,No,No,3151.99939982876,21081,32991,895123,8621121,Free,Constrained,613,3806,144.6
263,*,Houston             TX,JFK,New York/Newark     NY,1.29,1,No,No,6438.26709302091,27211,32991,3770125,8621121,Controlled,Free,1426,15711,349.53
264,*,Houston             TX,LGA,New York/Newark     NY,1.29,3,No,No,6438.26709302091,27211,32991,3770125,8621121,Controlled,Free,1426,15711,349.53
265,*,Houston             TX,EWR,New York/Newark     NY,1.29,3,No,No,6438.26709302091,27211,32991,3770125,8621121,Free,Constrained,1426,15711,349.53
266,*,Jacksonville        FL,JFK,New York/Newark     NY,1.34,3,Yes,No,3840.27692166075,23614,32991,1008768,8621121,Controlled,Free,842,7098,183.43
267,*,Jacksonville        FL,LGA,New York/Newark     NY,1.34,3,Yes,No,3840.27692166075,23614,32991,1008768,8621121,Controlled,Free,842,7098,183.43
268,*,Jacksonville        FL,EWR,New York/Newark     NY,1.34,3,Yes,No,3840.27692166075,23614,32991,1008768,8621121,Free,Constrained,842,7098,183.43
269,*,Kansas City         MO,JFK,New York/Newark     NY,1.4,3,No,No,2617.86935414004,25450,32991,1694803,8621121,Controlled,Free,1103,7543,223.99
270,*,Kansas City         MO,LGA,New York/Newark     NY,1.4,0,No,No,2617.86935414004,25450,32991,1694803,8621121,Controlled,Free,1103,7543,223.99
271,*,Kansas City         MO,EWR,New York/Newark     NY,1.4,3,No,No,2617.86935414004,25450,32991,1694803,8621121,Free,Constrained,1103,7543,223.99
272,*,Las Vegas           NV,JFK,New York/Newark     NY,1.36,3,Yes,No,2263.80909409227,24575,32991,1197234,8621121,Controlled,Free,2237,26582,169.41
273,*,Las Vegas           NV,LGA,New York/Newark     NY,1.36,3,Yes,No,2263.80909409227,24575,32991,1197234,8621121,Controlled,Free,2237,26582,169.41
274,*,Las Vegas           NV,EWR,New York/Newark     NY,1.36,3,Yes,No,2263.80909409227,24575,32991,1197234,8621121,Free,Constrained,2237,26582,169.41
275,*,Los Angeles         CA,JFK,New York/Newark     NY,1.17,3,No,No,2517.73564183902,24706,32991,9056076,8621121,Controlled,Free,2467,60435,326.47
276,*,Los Angeles         CA,LGA,New York/Newark     NY,1.17,3,No,No,2517.73564183902,24706,32991,9056076,8621121,Controlled,Free,2467,60435,326.47
277,*,Los Angeles         CA,EWR,New York/Newark     NY,1.17,3,No,No,2517.73564183902,24706,32991,9056076,8621121,Free,Constrained,2467,60435,326.47
278,*,Memphis             TN,JFK,New York/Newark     NY,1.29,3,No,No,6317.55499379169,24725,32991,1074558,8621121,Controlled,Free,951,4614,234.31
279,*,Memphis             TN,LGA,New York/Newark     NY,1.29,3,No,No,6317.55499379169,24725,32991,1074558,8621121,Controlled,Free,951,4614,234.31
280,*,Memphis             TN,EWR,New York/Newark     NY,1.29,3,No,No,6317.55499379169,24725,32991,1074558,8621121,Free,Constrained,951,4614,234.31
281,*,Miami               FL,JFK,New York/Newark     NY,1.05,3,Yes,No,3042.08569860214,21207,32991,2105604,8621121,Controlled,Free,1097,51122,124.92
282,*,Miami               FL,LGA,New York/Newark     NY,1.05,3,Yes,No,3042.08569860214,21207,32991,2105604,8621121,Controlled,Free,1097,51122,124.92
283,*,Miami               FL,EWR,New York/Newark     NY,1.05,3,Yes,No,3042.08569860214,21207,32991,2105604,8621121,Free,Constrained,1097,51122,124.92
284,*,Minneapolis/St Paul MN,JFK,New York/Newark     NY,1.15,3,No,No,6143.20430007114,28739,32991,2761118,8621121,Controlled,Constrained,1015,13123,278.39
285,*,Minneapolis/St Paul MN,LGA,New York/Newark     NY,1.15,3,No,No,6143.20430007114,28739,32991,2761118,8621121,Controlled,Constrained,1015,13123,278.39
286,*,Minneapolis/St Paul MN,EWR,New York/Newark     NY,1.15,3,No,No,6143.20430007114,28739,32991,2761118,8621121,Free,Constrained,1015,13123,278.39
287,*,New Orleans         LA,JFK,New York/Newark     NY,1.42,3,No,No,2995.09969087694,22038,32991,1308499,8621121,Controlled,Free,1173,10334,208.71
288,*,New Orleans         LA,LGA,New York/Newark     NY,1.42,3,No,No,2995.09969087694,22038,32991,1308499,8621121,Controlled,Free,1173,10334,208.71
289,*,New Orleans         LA,EWR,New York/Newark     NY,1.42,3,No,No,2995.09969087694,22038,32991,1308499,8621121,Free,Constrained,1173,10334,208.71
290,*,Norfolk/Va B/Pt/Ch  VA,JFK,New York/Newark     NY,1.02,0,No,No,3585.86004604834,21125,32991,1536012,8621121,Controlled,Free,291,6295,150.13
291,*,Norfolk/Va B/Pt/Ch  VA,LGA,New York/Newark     NY,1.02,3,No,No,3585.86004604834,21125,32991,1536012,8621121,Controlled,Free,291,6295,150.13
292,*,Norfolk/Va B/Pt/Ch  VA,EWR,New York/Newark     NY,1.02,3,No,No,3585.86004604834,21125,32991,1536012,8621121,Free,Constrained,291,6295,150.13
293,*,Burbank             CA,*,Oakland             CA,1,3,No,Yes,8795.72757927566,24706,29846,9056076,2237227,Free,Free,325,23041,56.43
294,*,Las Vegas           NV,*,Oakland             CA,1.05,0,Yes,Yes,9062.94711880732,24575,29846,1197234,2237227,Free,Free,407,13356,58.03
295,*,Los Angeles         CA,*,Oakland             CA,1,3,No,Yes,5391.07667639686,24706,29846,9056076,2237227,Free,Free,334,43884,53.8
296,*,Dallas/Fort Worth   TX,*,Oklahoma City       OK,1,1,No,Yes,5149.02567300256,28637,20927,3036732,1021733,Free,Free,180,7646,66.14
297,*,Houston             TX,*,Oklahoma City       OK,1.09,3,No,Yes,4897.64198210668,27211,20927,3770125,1021733,Free,Free,410,5425,96.18
298,ORD,Chicago             IL,*,Omaha               NE,1.02,3,No,Yes,5230.31705165222,29260,25127,7830332,679984,Controlled,Free,428,8724,67.77
299,MDW,Chicago             IL,*,Omaha               NE,1.02,3,No,Yes,5230.31705165222,29260,25127,7830332,679984,Free,Free,428,8724,67.77
300,*,Denver              CO,*,Omaha               NE,1,3,No,No,6131.59920036658,29055,25127,1862106,679984,Free,Free,474,3734,139.81
301,*,Atlanta             GA,*,Orlando             FL,1.01,3,Yes,No,4581.0335143758,26993,22360,3532657,1421287,Free,Free,404,18673,92.78
302,*,Boston              MA,*,Orlando             FL,1.24,3,Yes,No,3123.3458156119,30124,22360,5787293,1421287,Free,Free,1119,23222,117.97
303,ORD,Chicago             IL,*,Orlando             FL,1.09,3,Yes,Yes,1853.53405882936,29260,22360,7830332,1421287,Controlled,Free,995,26034,121.67
304,MDW,Chicago             IL,*,Orlando             FL,1.09,3,Yes,Yes,1853.53405882936,29260,22360,7830332,1421287,Free,Free,995,26034,121.67
305,*,Cincinnati          OH,*,Orlando             FL,1.17,3,Yes,No,5313.07483466517,25059,22360,1595139,1421287,Free,Constrained,756,5235,138.88
306,*,Cleveland           OH,*,Orlando             FL,1.34,3,Yes,No,4568.57722266023,26046,22360,2230955,1421287,Free,Free,902,5696,140.9
307,*,Columbus            OH,*,Orlando             FL,1.5,0,Yes,Yes,2082.22679768515,24502,22360,125722,1421287,Free,Free,802,6399,104.33
308,*,Dallas/Fort Worth   TX,*,Orlando             FL,1.08,3,Yes,No,3819.51986912956,28637,22360,3036732,1421287,Free,Free,984,11392,153.58
309,*,Denver              CO,*,Orlando             FL,1.55,3,Yes,No,3651.90843418522,29055,22360,1862106,1421287,Free,Free,1545,5820,201.43
310,*,Detroit             MI,*,Orlando             FL,1.16,3,Yes,No,5790.88016032507,26506,22360,4459144,1421287,Free,Constrained,963,16414,102.95
311,*,Fort Lauderdale     FL,*,Orlando             FL,1,3,Yes,Yes,4144.01109287334,26752,22360,1440377,1421287,Free,Free,174,9216,45.55
312,*,Hartford            CT,*,Orlando             FL,1.36,3,Yes,No,3217.36972233427,30268,22360,1106780,1421287,Free,Free,1045,9823,114.5
313,*,Houston             TX,*,Orlando             FL,1.28,3,Yes,Yes,4843.939839649,27211,22360,3770125,1421287,Free,Free,856,5798,150.04
314,*,Kansas City         MO,*,Orlando             FL,1.68,0,Yes,Yes,1771.85044503041,25450,22360,1694803,1421287,Free,Free,1064,5610,121.35
315,*,Las Vegas           NV,*,Orlando             FL,1.48,3,Yes,No,3285.2933949718,24575,22360,1197234,1421287,Free,Free,2035,5829,117.59
316,*,Los Angeles         CA,*,Orlando             FL,1.4,3,Yes,No,4628.93643297274,24706,22360,9056076,1421287,Free,Free,2216,8084,258.43
317,*,Miami               FL,*,Orlando             FL,1,0,Yes,No,5149.70194021016,21207,22360,2105604,1421287,Free,Free,192,7967,96.53
318,*,Miami               FL,*,Orlando             FL,1,0,Yes,No,5149.70194021016,21207,22360,2105604,1421287,Free,Free,192,7967,96.53
319,*,Minneapolis/St Paul MN,*,Orlando             FL,1.34,3,Yes,No,6037.84151406114,28739,22360,2761118,1421287,Free,Constrained,1308,4978,204.62
320,*,New Orleans         LA,*,Orlando             FL,1.3,3,Yes,Yes,2424.61189756843,22038,22360,1308499,1421287,Free,Free,541,5057,92.35
321,JFK,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.85222731224,32991,22360,8621121,1421287,Controlled,Free,947,54990,123.97
322,LGA,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.85222731224,32991,22360,8621121,1421287,Controlled,Free,947,54990,123.97
323,EWR,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.85222731224,32991,22360,8621121,1421287,Free,Constrained,947,54990,123.97
324,*,Atlanta             GA,*,Philadelphia/Camden PA,1.06,3,No,No,4248.47210722649,26993,27994,3532657,4948339,Free,Free,674,16512,125.09
325,*,Boston              MA,*,Philadelphia/Camden PA,1.02,0,No,No,9649.01234020354,30124,27994,5787293,4948339,Free,Free,265,17196,138.56
326,ORD,Chicago             IL,*,Philadelphia/Camden PA,1.08,3,No,No,3748.60103049015,29260,27994,7830332,4948339,Controlled,Free,673,16559,215.06
327,MDW,Chicago             IL,*,Philadelphia/Camden PA,1.08,3,No,No,3748.60103049015,29260,27994,7830332,4948339,Free,Free,673,16559,215.06
328,*,Dallas/Fort Worth   TX,*,Philadelphia/Camden PA,1.17,3,No,No,5921.73359702465,28637,27994,3036732,4948339,Free,Free,1314,7630,249.45
329,*,Denver              CO,*,Philadelphia/Camden PA,1.35,3,No,No,5840.94131056958,29055,27994,1862106,4948339,Free,Free,1568,3599,335.55
330,*,Detroit             MI,*,Philadelphia/Camden PA,1.05,3,No,No,4597.28699737876,26506,27994,4459144,4948339,Free,Constrained,450,7899,175.66
331,*,Fort Lauderdale     FL,*,Philadelphia/Camden PA,1.21,3,Yes,No,7577.56056650371,26752,27994,1440377,4948339,Free,Free,997,6541,132.77
332,*,Houston             TX,*,Philadelphia/Camden PA,1.36,3,No,No,5679.24509200734,27211,27994,3770125,4948339,Free,Free,1347,4023,353.56
333,*,Las Vegas           NV,*,Philadelphia/Camden PA,1.36,3,Yes,No,2494.44635653246,24575,27994,1197234,4948339,Free,Free,2179,6948,165.9
334,*,Los Angeles         CA,*,Philadelphia/Camden PA,1.37,3,No,No,3264.93810272141,24706,27994,9056076,4948339,Free,Free,2407,8981,293.21
335,*,Miami               FL,*,Philadelphia/Camden PA,1.15,3,Yes,No,4191.13972260094,21207,27994,2105604,4948339,Free,Free,1026,5725,152.67
336,*,Minneapolis/St Paul MN,*,Philadelphia/Camden PA,1.18,3,No,No,7362.53006783957,28739,27994,2761118,4948339,Free,Constrained,979,4149,295.46
337,*,Orlando             FL,*,Philadelphia/Camden PA,1.14,3,Yes,No,5335.32107428839,22360,27994,1421287,4948339,Free,Free,872,17853,114.28
338,*,Albuquerque         NM,*,Phoenix             AZ,1,3,No,Yes,6362.24046982062,22089,23025,668159,2753373,Free,Free,327,13947,57.05
339,*,Atlanta             GA,*,Phoenix             AZ,1.25,3,No,No,4275.3522653454,26993,23025,3532657,2753373,Free,Free,1591,5944,200.09
340,*,Austin              TX,*,Phoenix             AZ,1.1,3,No,Yes,4252.08532424038,23665,23025,1038660,2753373,Free,Free,876,4511,105.41
341,*,Boston              MA,*,Phoenix             AZ,1.7,3,No,No,1710.89592012254,30124,23025,5787293,2753373,Free,Free,2295,7130,197.42
342,*,Burbank             CA,*,Phoenix             AZ,1,3,No,Yes,5266.71566436279,24706,23025,9056076,2753373,Free,Free,363,10529,57.33
343,ORD,Chicago             IL,*,Phoenix             AZ,1.11,3,No,Yes,2297.84637611961,29260,23025,7830332,2753373,Controlled,Free,1446,23009,152.1
344,MDW,Chicago             IL,*,Phoenix             AZ,1.11,3,No,Yes,2297.84637611961,29260,23025,7830332,2753373,Free,Free,1446,23009,152.1
345,*,Cleveland           OH,*,Phoenix             AZ,1.56,0,No,Yes,2659.93539745345,26046,23025,2230955,2753373,Free,Free,1749,4272,166.66
346,*,Columbus            OH,*,Phoenix             AZ,1.56,3,No,Yes,3391.86949861854,24502,23025,125722,2753373,Free,Free,1673,4780,158
347,*,Dallas/Fort Worth   TX,*,Phoenix             AZ,1.1,0,No,No,4711.46894366787,28637,23025,3036732,2753373,Free,Free,870,7060,229.84
348,*,Denver              CO,*,Phoenix             AZ,1.02,0,No,No,3959.07430267061,29055,23025,1862106,2753373,Free,Free,590,11723,133.04
349,*,Detroit             MI,*,Phoenix             AZ,1.22,3,No,Yes,4116.07825300682,26506,23025,4459144,2753373,Free,Constrained,1682,8384,191.66
350,*,El Paso             TX,*,Phoenix             AZ,1,3,No,Yes,7231.62416911495,14600,23025,677757,2753373,Free,Free,353,6211,60.73
351,*,Houston             TX,*,Phoenix             AZ,1.08,3,No,Yes,3100.41252356633,27211,23025,3770125,2753373,Free,Free,1014,6277,148.28
352,*,Kansas City         MO,*,Phoenix             AZ,1.18,3,No,Yes,3725.95891693385,25450,23025,1694803,2753373,Free,Free,1046,8478,85.48
353,*,Las Vegas           NV,*,Phoenix             AZ,1,3,Yes,Yes,5619.01702949047,24575,23025,1197234,2753373,Free,Free,248,22995,53.07
354,*,Los Angeles         CA,*,Phoenix             AZ,1.01,3,No,Yes,3923.94311826505,24706,23025,9056076,2753373,Free,Free,366,35471,51.73
355,*,Minneapolis/St Paul MN,*,Phoenix             AZ,1.12,0,No,No,4317.48692456464,28739,23025,2761118,2753373,Free,Constrained,1279,8730,195.91
356,JFK,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.90253393391,32991,23025,8621121,2753373,Controlled,Free,2148,14830,273.12
357,LGA,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.90253393391,32991,23025,8621121,2753373,Controlled,Free,2148,14830,273.12
358,EWR,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.90253393391,32991,23025,8621121,2753373,Free,Constrained,2148,14830,273.12
359,*,Oakland             CA,*,Phoenix             AZ,1.03,3,No,Yes,4787.55149335634,29846,23025,2237227,2753373,Free,Free,638,8271,84.15
360,*,Omaha               NE,*,Phoenix             AZ,1.34,3,No,Yes,3442.98126286195,25127,23025,679984,2753373,Free,Free,1031,5953,81.32
361,*,Orlando             FL,*,Phoenix             AZ,1.78,3,Yes,Yes,2275.24110821045,22360,23025,1421287,2753373,Free,Free,1851,4099,162.53
362,*,Philadelphia/Camden PA,*,Phoenix             AZ,1.55,3,No,No,3127.58946045916,27994,23025,4948339,2753373,Free,Free,2083,3891,291.78
363,*,Atlanta             GA,*,Pittsburgh          PA,1.04,3,No,No,4215.01203389333,26993,25054,3532657,2374260,Free,Constrained,525,7664,93.55
364,*,Boston              MA,*,Pittsburgh          PA,1.1,3,No,No,9174.829233892,30124,25054,5787293,2374260,Free,Constrained,483,5539,186.28
365,ORD,Chicago             IL,*,Pittsburgh          PA,1.05,3,No,No,4947.27966530556,29260,25054,7830332,2374260,Controlled,Constrained,412,6585,208.86
